activateable,createable,custom,customSetting,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,True,False,False,False,False,False,False,False,0M6,Streaming Channel,Streaming Channels,True,False,True,StreamingChannel,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/StreamingChannel/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/StreamingChannel/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/StreamingChannel/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/StreamingChannel/describe'), ('layouts', '/services/data/v42.0/sobjects/StreamingChannel/describe/layouts'), ('push', '/services/data/v42.0/sobjects/StreamingChannel/{ID}/push'), ('sobject', '/services/data/v42.0/sobjects/StreamingChannel')])"
False,True,False,False,True,False,False,False,False,,Streaming Channel Share,Streaming Channel Share,False,False,False,StreamingChannelShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/StreamingChannelShare/{ID}'), ('describe', '/services/data/v42.0/sobjects/StreamingChannelShare/describe'), ('sobject', '/services/data/v42.0/sobjects/StreamingChannelShare')])"
False,False,False,False,False,False,False,False,False,0Kd,Survey,Surveys,True,False,True,Survey,True,True,True,True,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/Survey/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/Survey/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/Survey/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/Survey/describe'), ('layouts', '/services/data/v42.0/sobjects/Survey/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/Survey')])"
False,False,False,False,False,False,False,False,False,0Ka,Survey Email Branding,Survey Email Brandings,True,False,True,SurveyEmailBranding,True,False,True,False,False,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/SurveyEmailBranding/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/SurveyEmailBranding/{ID}'), ('describe', '/services/data/v42.0/sobjects/SurveyEmailBranding/describe'), ('layouts', '/services/data/v42.0/sobjects/SurveyEmailBranding/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/SurveyEmailBranding')])"
False,False,False,False,True,False,False,False,False,,Survey Feed,Survey Feed,False,False,False,SurveyFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SurveyFeed/{ID}'), ('describe', '/services/data/v42.0/sobjects/SurveyFeed/describe'), ('sobject', '/services/data/v42.0/sobjects/SurveyFeed')])"
False,True,False,False,False,False,False,False,False,0Ki,Survey Invitation,Survey Invitations,True,False,True,SurveyInvitation,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/SurveyInvitation/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/SurveyInvitation/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/SurveyInvitation/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/SurveyInvitation/describe'), ('layouts', '/services/data/v42.0/sobjects/SurveyInvitation/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/SurveyInvitation')])"
False,True,False,False,True,False,False,False,False,,Survey Invitation Share,Survey Invitation Share,False,False,False,SurveyInvitationShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SurveyInvitationShare/{ID}'), ('describe', '/services/data/v42.0/sobjects/SurveyInvitationShare/describe'), ('sobject', '/services/data/v42.0/sobjects/SurveyInvitationShare')])"
False,False,False,False,False,False,False,False,False,0Ke,Survey Page,Survey Pages,False,False,False,SurveyPage,True,True,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SurveyPage/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/SurveyPage/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/SurveyPage/describe'), ('sobject', '/services/data/v42.0/sobjects/SurveyPage')])"
False,False,False,False,False,False,False,False,False,0Ku,Survey Question,Survey Questions,True,False,False,SurveyQuestion,True,True,True,False,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/SurveyQuestion/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/SurveyQuestion/{ID}'), ('describe', '/services/data/v42.0/sobjects/SurveyQuestion/describe'), ('layouts', '/services/data/v42.0/sobjects/SurveyQuestion/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/SurveyQuestion')])"
False,False,False,False,False,False,False,False,False,0Kc,Survey Question Choice,Survey Question Choices,True,False,False,SurveyQuestionChoice,True,True,True,False,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/SurveyQuestionChoice/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/SurveyQuestionChoice/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/SurveyQuestionChoice/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/SurveyQuestionChoice/describe'), ('layouts', '/services/data/v42.0/sobjects/SurveyQuestionChoice/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/SurveyQuestionChoice')])"
