         20475167 function calls (20447362 primitive calls) in 12.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   197565    0.098    0.000    0.098    0.000 __init__.py:1528(getEffectiveLevel)
       86    0.000    0.000    0.000    0.000 __init__.py:1541(_fn)
   197565    0.122    0.000    0.220    0.000 __init__.py:1542(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1557(EggProvider)
        3    0.000    0.000    0.000    0.000 __init__.py:1560(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1564(_setup_prefix)
   197565    0.073    0.000    0.114    0.000 __init__.py:157(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1574(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1579(DefaultProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1580(__init__)
       70    0.000    0.000    0.000    0.000 __init__.py:1582(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:1588(LoggerAdapter)
       13    0.000    0.000    0.000    0.000 __init__.py:1594(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1598(_register)
        1    0.000    0.000    0.118    0.118 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1608(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1616(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1623(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1650(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1670(ContextualZipFile)
        1    0.000    0.000    0.000    0.000 __init__.py:1690(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1811(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:1859(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:1898(PathMetadata)
       21    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
      116    0.000    0.000    0.000    0.000 __init__.py:1918(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1923(EggMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:1939(NullHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:1941(register_finder)
       14    0.000    0.000    0.000    0.000 __init__.py:1951(find_distributions)
        2    0.000    0.000    0.000    0.000 __init__.py:1988(find_nothing)
       12    0.000    0.000    0.008    0.001 __init__.py:1995(_by_version_descending)
        1    0.000    0.000    0.000    0.000 __init__.py:200(SetuptoolsVersion)
      116    0.000    0.000    0.006    0.000 __init__.py:2010(_by_version)
      116    0.000    0.000    0.005    0.000 __init__.py:2016(<listcomp>)
      128    0.000    0.000    0.020    0.000 __init__.py:2021(find_on_path)
      128    0.000    0.000    0.001    0.000 __init__.py:2039(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:204(SetuptoolsLegacyVersion)
     1082    0.001    0.000    0.001    0.000 __init__.py:2053(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2070(NoDists)
      850    0.000    0.000    0.000    0.000 __init__.py:2078(__bool__)
       12    0.000    0.000    0.002    0.000 __init__.py:2087(safe_listdir)
      232    0.001    0.000    0.009    0.000 __init__.py:2108(distributions_from_metadata)
        4    0.000    0.000    0.000    0.000 __init__.py:2153(register_namespace_handler)
       19    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:219(_declare_state)
       58    0.000    0.000    0.000    0.000 __init__.py:2263(fixup_namespace_packages)
       19    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
       10    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        7    0.000    0.000    0.000    0.000 __init__.py:2302(normalize_path)
      418    0.000    0.000    0.000    0.000 __init__.py:2307(_normalize_cached)
       45    0.000    0.000    0.000    0.000 __init__.py:2315(_is_egg_path)
       12    0.000    0.000    0.000    0.000 __init__.py:2322(_is_unpacked_egg)
       49    0.000    0.000    0.000    0.000 __init__.py:2340(yield_lines)
        1    0.000    0.000    0.001    0.001 __init__.py:2369(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:239(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:25(ContainersWrapper)
   197565    1.106    0.000    2.349    0.000 __init__.py:251(__init__)
       12    0.000    0.000    0.001    0.000 __init__.py:2510(_version_from_file)
       36    0.000    0.000    0.000    0.000 __init__.py:2515(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:2522(Distribution)
      116    0.000    0.000    0.003    0.000 __init__.py:2526(__init__)
      116    0.000    0.000    0.006    0.000 __init__.py:2538(from_location)
      104    0.000    0.000    0.000    0.000 __init__.py:2555(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:259(get_supported_platform)
      348    0.000    0.000    0.000    0.000 __init__.py:2597(key)
        1    0.000    0.000    0.000    0.000 __init__.py:26(__init__)
      106    0.000    0.000    0.001    0.000 __init__.py:2683(_get_metadata)
       58    0.000    0.000    0.001    0.000 __init__.py:2688(activate)
      199    0.000    0.000    0.000    0.000 __init__.py:2724(__getattr__)
        4    0.000    0.000    0.011    0.003 __init__.py:274(load)
       58    0.000    0.000    0.000    0.000 __init__.py:2769(insert_on)
       58    0.000    0.000    0.000    0.000 __init__.py:2795(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2879(EggInfoDistribution)
       12    0.000    0.000    0.001    0.000 __init__.py:2880(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:2898(DistInfoDistribution)
       13    0.000    0.000    0.043    0.003 __init__.py:29(load)
        1    0.000    0.000    0.000    0.000 __init__.py:2965(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:2989(Requirement)
       17    0.000    0.000    0.010    0.001 __init__.py:302(loads)
       17    0.000    0.000    0.000    0.000 __init__.py:3042(_always_object)
       17    0.000    0.000    0.000    0.000 __init__.py:3052(_find_adapter)
        2    0.000    0.000    0.023    0.011 __init__.py:3121(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3126(_initialize)
